aimd_structure_id,status,cp2k_xyz_path
aimd_0001_silica_patch_only_seed1,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0001_silica_patch_only_seed1/structure.xyz
aimd_0002_silica_patch_only_seed2,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0002_silica_patch_only_seed2/structure.xyz
aimd_0003_silica_patch_only_seed3,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0003_silica_patch_only_seed3/structure.xyz
aimd_0004_pe_near_silanol_wall_seed1,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0004_pe_near_silanol_wall_seed1/structure.xyz
aimd_0005_pe_near_silanol_wall_seed2,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0005_pe_near_silanol_wall_seed2/structure.xyz
aimd_0006_pe_near_silanol_wall_seed3,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0006_pe_near_silanol_wall_seed3/structure.xyz
aimd_0007_pe_near_siloxane_wall_seed1,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0007_pe_near_siloxane_wall_seed1/structure.xyz
aimd_0008_pe_near_siloxane_wall_seed2,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0008_pe_near_siloxane_wall_seed2/structure.xyz
aimd_0009_pe_near_siloxane_wall_seed3,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0009_pe_near_siloxane_wall_seed3/structure.xyz
aimd_0010_pp_near_silanol_wall_seed1,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0010_pp_near_silanol_wall_seed1/structure.xyz
aimd_0011_pp_near_silanol_wall_seed2,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0011_pp_near_silanol_wall_seed2/structure.xyz
aimd_0012_pp_near_silanol_wall_seed3,structure_input_written_no_cp2k_run,/home/jinhao/mlff/pepp_initial_builder/data/aimd_exports/aimd_0012_pp_near_silanol_wall_seed3/structure.xyz
