aimd_structure_id,status,source_patch_id,family,extxyz_path
aimd_0001_silica_patch_only_seed1,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,silica_patch_only,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0001_silica_patch_only_seed1/structure.extxyz
aimd_0002_silica_patch_only_seed2,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,silica_patch_only,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0002_silica_patch_only_seed2/structure.extxyz
aimd_0003_silica_patch_only_seed3,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,silica_patch_only,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0003_silica_patch_only_seed3/structure.extxyz
aimd_0004_pe_near_silanol_wall_seed1,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0004_pe_near_silanol_wall_seed1/structure.extxyz
aimd_0005_pe_near_silanol_wall_seed2,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0005_pe_near_silanol_wall_seed2/structure.extxyz
aimd_0006_pe_near_silanol_wall_seed3,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0006_pe_near_silanol_wall_seed3/structure.extxyz
aimd_0007_pe_near_siloxane_wall_seed1,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_siloxane_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0007_pe_near_siloxane_wall_seed1/structure.extxyz
aimd_0008_pe_near_siloxane_wall_seed2,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_siloxane_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0008_pe_near_siloxane_wall_seed2/structure.extxyz
aimd_0009_pe_near_siloxane_wall_seed3,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pe_near_siloxane_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0009_pe_near_siloxane_wall_seed3/structure.extxyz
aimd_0010_pp_near_silanol_wall_seed1,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pp_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0010_pp_near_silanol_wall_seed1/structure.extxyz
aimd_0011_pp_near_silanol_wall_seed2,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pp_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0011_pp_near_silanol_wall_seed2/structure.extxyz
aimd_0012_pp_near_silanol_wall_seed3,available,patch_porems_D4p0nm_L4p0nm_silanol_rich_001,pp_near_silanol_wall,/home/jinhao/mlff/pepp_initial_builder/data/aimd_local_structures/aimd_0012_pp_near_silanol_wall_seed3/structure.extxyz
