system_id,pe_fraction_target,pp_fraction_target,pe_fraction_actual,pp_fraction_actual,chain_length_backbone,seed,total_backbone_carbons_target,total_backbone_carbons_actual,n_pe_chains,n_pp_chains,n_pe_backbone_carbons,n_pp_backbone_carbons,initial_packing_density_g_cm3,planned_downstream_density_scales,target_temperature_K_for_later_mlff,target_pressure_atm_for_later_mlff,estimated_total_atoms,builder_status,cleanup_status
pepp_PE100_PP00_N80_seed1,1.0,0.0,1.0,0.0,80,1,5120,5120,64,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15488,pending,not_run
pepp_PE100_PP00_N80_seed2,1.0,0.0,1.0,0.0,80,2,5120,5120,64,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15488,pending,not_run
pepp_PE100_PP00_N80_seed3,1.0,0.0,1.0,0.0,80,3,5120,5120,64,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15488,pending,not_run
pepp_PE100_PP00_N160_seed1,1.0,0.0,1.0,0.0,160,1,5120,5120,32,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15424,pending,not_run
pepp_PE100_PP00_N160_seed2,1.0,0.0,1.0,0.0,160,2,5120,5120,32,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15424,pending,not_run
pepp_PE100_PP00_N160_seed3,1.0,0.0,1.0,0.0,160,3,5120,5120,32,0,5120,0,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,15424,pending,not_run
pepp_PE75_PP25_N80_seed1,0.75,0.25,0.75,0.25,80,1,5120,5120,48,16,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17408,pending,not_run
pepp_PE75_PP25_N80_seed2,0.75,0.25,0.75,0.25,80,2,5120,5120,48,16,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17408,pending,not_run
pepp_PE75_PP25_N80_seed3,0.75,0.25,0.75,0.25,80,3,5120,5120,48,16,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17408,pending,not_run
pepp_PE75_PP25_N160_seed1,0.75,0.25,0.75,0.25,160,1,5120,5120,24,8,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17344,pending,not_run
pepp_PE75_PP25_N160_seed2,0.75,0.25,0.75,0.25,160,2,5120,5120,24,8,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17344,pending,not_run
pepp_PE75_PP25_N160_seed3,0.75,0.25,0.75,0.25,160,3,5120,5120,24,8,3840,1280,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,17344,pending,not_run
pepp_PE50_PP50_N80_seed1,0.5,0.5,0.5,0.5,80,1,5120,5120,32,32,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19328,pending,not_run
pepp_PE50_PP50_N80_seed2,0.5,0.5,0.5,0.5,80,2,5120,5120,32,32,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19328,pending,not_run
pepp_PE50_PP50_N80_seed3,0.5,0.5,0.5,0.5,80,3,5120,5120,32,32,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19328,pending,not_run
pepp_PE50_PP50_N160_seed1,0.5,0.5,0.5,0.5,160,1,5120,5120,16,16,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19264,pending,not_run
pepp_PE50_PP50_N160_seed2,0.5,0.5,0.5,0.5,160,2,5120,5120,16,16,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19264,pending,not_run
pepp_PE50_PP50_N160_seed3,0.5,0.5,0.5,0.5,160,3,5120,5120,16,16,2560,2560,0.5,"[0.95, 1.0, 1.05]",523.0,1.0,19264,pending,not_run
